#Code,Numeric,DecPlaces,CountryCodes
BTC,-1,-1,
NMC,-1,-1,
LTC,-1,-1,
NVC,-1,-1,
TRC,-1,-1,
PPC,-1,-1,
FTC,-1,-1,
CNC,-1,-1,
BTB,-1,-1,
WDC,-1,-1,
FRC,-1,-1,
YAC,-1,-1,
BQC,-1,-1,
BOT,-1,-1,
SBC,-1,-1,
NBL,-1,-1,
DGC,-1,-1,
DVC,-1,-1,
IXC,-1,-1,
PXC,-1,-1,
ALF,-1,-1,
CAP,-1,-1,
MNC,-1,-1,
FST,-1,-1,
XPM,-1,-1,
AMC,-1,-1,
ARG,-1,-1,
BTE,-1,-1,
BTG,-1,-1,
ELC,-1,-1,
FRK,-1,-1,
HYC,-1,-1,
LKY,-1,-1,
MEC,-1,-1,
IFC,-1,-1,
NAN,-1,-1,
KGC,-1,-1,
NRB,-1,-1,
ANC,-1,-1,
CSC,-1,-1,
XEN,-1,-1,
LBW,-1,-1,
GIL,-1,-1,
HBN,-1,-1,
STR,-1,-1,
QRK,-1,-1,
YBC,-1,-1,
CGB,-1,-1,
CMC,-1,-1,
DMD,-1,-1,
DBL,-1,-1,
EMD,-1,-1,
EZC,-1,-1,
FLO,-1,-1,
GLC,-1,-1,
GLD,-1,-1,
GLX,-1,-1,
JKC,-1,-1,
MEM,-1,-1,
MST,-1,-1,
RYC,-1,-1,
XNC,-1,-1,
SPT,-1,-1,
GDC,-1,-1,
CPR,-1,-1,
GME,-1,-1,
RED,-1,-1,
CENT,-1,-1,
NEC,-1,-1,
PHS,-1,-1,
SRC,-1,-1,
ZET,-1,-1,